a	b	r	nb	Figure_of_merit
0.481933594	0.889160156	1	1	0.254627962
2.113769531	0.419433594	1	1	0.234749938
2.187011719	0.891113281	1	1	0.232325734
1.208496094	0.537597656	1	1	0.241416175
2.887207031	0.208496094	1	1	0.226382215
0.036621094	0.146972656	1	1	0.263226602
2.418457031	0.239746094	1	1	0.23254374
0.291503906	0.597167969	1	1	0.259823156
2.345214844	0.861816406	1	1	0.231715725
1.521972656	0.539550781	1	1	0.241394056
1.680175781	0.884277344	1	1	0.238569295
2.087402344	0.181152344	1	1	0.237029935
1.141113281	0.012207031	1	1	0.24292213
1.507324219	0.784667969	1	1	0.240068347
0.256347656	0.140136719	1	1	0.259959853
1.419433594	0.544433594	1	1	0.237733168
0.291503906	0.413574219	1	1	0.257844376
1.976074219	0.164550781	1	1	0.233700464
0.950683594	0.670410156	1	1	0.246368515
2.834472656	0.933105469	1	1	0.228934789
2.670410156	0.128417969	1	1	0.228696388
2.784667969	0.473144531	1	1	0.227095002
2.740722656	0.526855469	1	1	0.228913112
1.937988281	0.902832031	1	1	0.235362956
0.666503906	0.222167969	1	1	0.251023486
1.858886719	0.261230469	1	1	0.237381451
1.753417969	0.349121094	1	1	0.234815589
0.036621094	0.772949219	1	1	0.256732625
2.046386719	0.719238281	1	1	0.234443657
0.127441406	0.655761719	1	1	0.259208386
0.379394531	0.751464844	1	1	0.254831331
0.514160156	0.347167969	1	1	0.252485304
0.262207031	0.583496094	1	1	0.256800635
2.471191406	0.062011719	1	1	0.230736619
0.256347656	0.842285156	1	1	0.260735031
2.658691406	0.730957031	1	1	0.229845899
2.034667969	0.749511719	1	1	0.235603951
1.659667969	0.105957031	1	1	0.234356176
0.367675781	0.696777344	1	1	0.256098221
0.669433594	0.687011719	1	1	0.253702337
0.678222656	0.589355469	1	1	0.253566995
1.633300781	0.104003906	1	1	0.236195884
0.426269531	0.609863281	1	1	0.255645467
0.238769531	0.279785156	1	1	0.257753547
2.784667969	0.317871094	1	1	0.22867472
1.088378906	0.647949219	1	1	0.246234751
1.319824219	0.687988281	1	1	0.243965148
0.147949219	0.259277344	1	1	0.260506938
2.339355469	0.919433594	1	1	0.233678619
2.204589844	0.222167969	1	1	0.231519779
2.189941406	0.073730469	1	1	0.232761824
2.134277344	0.136230469	1	1	0.232282142
2.421386719	0.198730469	1	1	0.231563318
2.523925781	0.790527344	1	1	0.227873533
1.486816406	0.620605469	1	1	0.239781483
1.510253906	0.378417969	1	1	0.239825607
1.633300781	0.431152344	1	1	0.242722603
1.354980469	0.997558594	1	1	0.237821128
1.829589844	0.752441406	1	1	0.236568873
0.253417969	0.655761719	1	1	0.258275993
0.030761719	0.120605469	1	1	0.261305623
2.567871094	0.239746094	1	1	0.229976167
1.612792969	0.832519531	1	1	0.237073864
0.461425781	0.349121094	1	1	0.253499334
0.821777344	0.073730469	1	1	0.249184208
0.584472656	0.576660156	1	1	0.253364035
1.237792969	0.358886719	1	1	0.242633944
2.544433594	0.576660156	1	1	0.231345658
2.547363281	0.653808594	1	1	0.22949865
1.958496094	0.100097656	1	1	0.235384861
1.384277344	0.790527344	1	1	0.240642473
0.651855469	0.809082031	1	1	0.252012651
2.676269531	0.467285156	1	1	0.228176562
2.418457031	0.806152344	1	1	0.229628845
2.175292969	0.395019531	1	1	0.23324188
2.676269531	0.981933594	1	1	0.22949865
0.147949219	0.273925781	1	1	0.261671073
2.189941406	0.463378906	1	1	0.233962665
1.146972656	0.889160156	1	1	0.24407621
0.276855469	0.285644531	1	1	0.258457815
1.850097656	0.023925781	1	1	0.236459147
1.574707031	0.524902344	1	1	0.237997086
1.141113281	0.997558594	1	1	0.241703796
2.714355469	0.382324219	1	1	0.23030196
1.829589844	0.597167969	1	1	0.23617395
1.352050781	0.645996094	1	1	0.240576201
1.105957031	0.743652344	1	1	0.240598291
0.461425781	0.191894531	1	1	0.25591708
0.253417969	0.887207031	1	1	0.261419803
2.248535156	0.519042969	1	1	0.232194967
0.481933594	0.467285156	1	1	0.255396591
0.121582031	0.259277344	1	1	0.259481543
2.849121094	0.334472656	1	1	0.227830255
2.340820313	0.596679688	1	1	0.231498011
2.418457031	0.633300781	1	1	0.230801844
0.985839844	0.721191406	1	1	0.246970809
2.544433594	0.312011719	1	1	0.233220051
2.459472656	0.687011719	1	1	0.230584453
2.939941406	0.843261719	1	1	0.225993771
2.418457031	0.803222656	1	1	0.230475787
1.598144531	0.407714844	2	1	0.242190843
1.205566406	0.871582031	2	1	0.243987359
2.895996094	0.162597656	2	1	0.231128075
0.019042969	0.871582031	2	1	0.239119996
2.213378906	0.332519531	2	1	0.234684294
2.465332031	0.478027344	2	1	0.232674581
2.960449219	0.211425781	2	1	0.227873533
1.387207031	0.727050781	2	1	0.245276949
2.661621094	0.084472656	2	1	0.236459147
0.701660156	0.053222656	2	1	0.242722603
1.598144531	0.935058594	2	1	0.239560909
1.606933594	0.106933594	2	1	0.239869735
2.544433594	0.404785156	2	1	0.236086224
2.963378906	0.268066406	2	1	0.230627925
1.513183594	0.905761719	2	1	0.243765286
1.214355469	0.794433594	2	1	0.24400957
1.122070313	0.440429688	2	1	0.248445536
2.471191406	0.979980469	2	1	0.237447383
1.911621094	0.834472656	2	1	0.236920127
1.973144531	0.937988281	2	1	0.237733168
0.777832031	0.805175781	2	1	0.248423165
0.224121094	0.208496094	2	1	0.240267023
1.322753906	0.285644531	2	1	0.242190843
2.447753906	0.069824219	2	1	0.239009816
0.979980469	0.387207031	2	1	0.246257043
1.653808594	0.561035156	2	1	0.238855598
0.505371094	0.865722656	2	1	0.246279336
2.488769531	0.047363281	2	1	0.234749938
0.408691406	0.917480469	2	1	0.251450434
1.779785156	0.362792969	2	1	0.238173094
0.326660156	0.804199219	2	1	0.248221868
0.733886719	0.636230469	2	1	0.247439662
2.187011719	0.820800781	2	1	0.23617395
0.147949219	0.644042969	2	1	0.238195099
0.505371094	0.677246094	2	1	0.247372661
0.353027344	0.744628906	2	1	0.247685392
2.715820313	0.032226563	2	1	0.233176396
0.347167969	0.035644531	2	1	0.237579267
2.649902344	0.104003906	2	1	0.233809701
2.989746094	0.381347656	2	1	0.231889952
0.751464844	0.893066406	2	1	0.24750667
2.729003906	0.534667969	2	1	0.231432712
1.352050781	0.649902344	2	1	0.240509935
2.690917969	0.218261719	2	1	0.234662414
0.259277344	0.900878906	2	1	0.244854202
1.372558594	0.403808594	2	1	0.241925134
1.776855469	0.981933594	2	1	0.236305563
0.282714844	0.987792969	2	1	0.245922747
2.245605469	0.965332031	2	1	0.235143951
1.316894531	0.938964844	2	1	0.242057974
2.295410156	0.334472656	2	1	0.239671186
0.643066406	0.839355469	2	1	0.249273803
1.776855469	0.184082031	2	1	0.238415187
1.497070313	0.815429688	2	1	0.237931096
1.267089844	0.689941406	2	1	0.243876312
1.393066406	0.390136719	2	1	0.244120641
2.318847656	0.680175781	2	1	0.235209645
0.212402344	0.416503906	2	1	0.242168696
2.113769531	0.419433594	2	1	0.239053886
1.958496094	0.287597656	2	1	0.239560909
0.657714844	0.362792969	2	1	0.24940822
0.508300781	0.556152344	2	1	0.24521018
0.276855469	0.944824219	2	1	0.246814603
1.305175781	0.067871094	2	1	0.241172908
0.607910156	0.771972656	2	1	0.249251403
0.019042969	0.702636719	2	1	0.238173094
2.690917969	0.949707031	2	1	0.233744156
1.709472656	0.451660156	2	1	0.240929736
2.992675781	0.035644531	2	1	0.230258511
2.488769531	0.110839844	2	1	0.233809701
1.322753906	0.440917969	2	1	0.242811274
1.700683594	0.888183594	2	1	0.240222867
0.862792969	0.082519531	2	1	0.247149378
1.732910156	0.772949219	2	1	0.237799137
1.653808594	0.733886719	2	1	0.239605017
0.405761719	0.047363281	2	1	0.2423902
2.895996094	0.692871094	2	1	0.231802832
2.887207031	0.021972656	2	1	0.231541548
1.530761719	0.922363281	2	1	0.239869735
2.078613281	0.310058594	2	1	0.233700464
2.178222656	0.280761719	2	1	0.235187746
2.116699219	0.040527344	2	1	0.241305587
0.435058594	0.842285156	2	1	0.25082135
1.700683594	0.186035156	2	1	0.240178714
2.151855469	0.069824219	2	1	0.234684294
1.132324219	0.320800781	2	1	0.247350329
0.101074219	0.649902344	2	1	0.237315527
2.351074219	0.253417969	2	1	0.237689192
0.353027344	0.134277344	2	1	0.238811543
0.801269531	0.342285156	2	1	0.245922747
0.930175781	0.134277344	2	1	0.248020636
0.962402344	0.229003906	2	1	0.246881543
1.108886719	0.781738281	2	1	0.243787489
1.606933594	0.014160156	2	1	0.239097958
0.449707031	0.789550781	2	1	0.24940822
2.696777344	0.588378906	2	1	0.234203114
2.649902344	0.839355469	2	1	0.234443657
2.931152344	0.649902344	2	1	0.229455258
2.690917969	0.754394531	2	1	0.235494396
0.042480469	0.949707031	2	1	0.24292213
1.744628906	0.362792969	2	1	0.238173094
0.947753906	0.815917969	2	1	0.248490279
0.347167969	0.380371094	2	1	0.24407621
1.633300781	0.239746094	2	1	0.240311182
1.322753906	0.440917969	2	1	0.246078729
2.699707031	0.895996094	2	1	0.230345412
1.208496094	0.257324219	2	1	0.244898688
1.835449219	0.078613281	2	1	0.240797136
0.877441406	0.011230469	2	1	0.246390812
2.690917969	0.218261719	2	1	0.232303937
1.249511719	0.964355469	2	1	0.24258962
1.149902344	0.416503906	2	1	0.247439662
1.064941406	0.218261719	2	1	0.246346219
1.574707031	0.524902344	2	1	0.239053886
0.730957031	0.302246094	2	1	0.247238682
1.530761719	0.922363281	2	1	0.239627073
0.036621094	0.146972656	2	1	0.237073864
2.787597656	0.561035156	2	1	0.233482048
2.811035156	0.078613281	2	1	0.233001805
0.804199219	0.172363281	2	1	0.247752427
2.392089844	0.534667969	2	1	0.234946913
0.566894531	0.014160156	2	1	0.244809719
2.623535156	0.257324219	2	1	0.23254374
2.327636719	0.023925781	2	1	0.234925024
1.261230469	0.054199219	2	1	0.243809694
1.059082031	0.211425781	2	1	0.248490279
2.781738281	0.231933594	2	1	0.230540984
2.890136719	0.407714844	2	1	0.231868171
1.100097656	0.421386719	2	1	0.246569215
2.295410156	0.253417969	2	1	0.235713526
0.804199219	0.172363281	2	1	0.24621246
0.405761719	0.164550781	2	1	0.242744769
0.508300781	0.556152344	2	1	0.249184208
2.978027344	0.354980469	2	1	0.231019312
0.191894531	0.639160156	2	1	0.242279438
0.657714844	0.674316406	2	1	0.247908868
0.912597656	0.917480469	2	1	0.248199506
1.217285156	0.175292969	2	1	0.242833443
1.571777344	0.275878906	2	1	0.24232374
2.916503906	0.788574219	2	1	0.228761398
1.419433594	0.451660156	2	1	0.241659538
1.158691406	0.167480469	2	1	0.246368515
0.754394531	0.591308594	2	1	0.247841817
0.839355469	0.473144531	2	1	0.247730081
0.051269531	0.673339844	2	1	0.237865113
0.974121094	0.709472656	2	1	0.247037766
1.606933594	0.374511719	2	1	0.239582963
0.730957031	0.990722656	2	1	0.248714042
1.958496094	0.007324219	2	1	0.241195019
2.849121094	0.334472656	2	1	0.229845899
0.918457031	0.303222656	2	1	0.246257043
2.931152344	0.572753906	2	1	0.22967225
2.433105469	0.441894531	2	1	0.23075836
0.259277344	0.900878906	2	1	0.245967309
1.451660156	0.784667969	2	1	0.239759422
1.442871094	0.804199219	2	1	0.244854202
2.617675781	0.446777344	2	1	0.23584504
1.586425781	0.353027344	2	1	0.245165672
2.059570313	0.938476563	2	1	0.23637138
2.440429688	0.440429688	2	1	0.233525725
2.392089844	0.314941406	2	1	0.235494396
1.554199219	0.492675781	2	1	0.239318368
1.653808594	0.561035156	2	1	0.238679396
1.803222656	0.905761719	2	1	0.236086224
1.888183594	0.280761719	2	1	0.237205668
1.551269531	0.484863281	2	1	0.241703796
0.854003906	0.689941406	2	1	0.248154783
0.704589844	0.722167969	2	1	0.248445536
0.558105469	0.566894531	2	1	0.2504846
0.921386719	0.126464844	2	1	0.245744529
2.901855469	0.606933594	2	1	0.22967225
2.406738281	0.059082031	2	1	0.235472488
2.992675781	0.380371094	2	1	0.233831551
0.048339844	0.440917969	2	1	0.236283626
1.249511719	0.383300781	2	1	0.239957999
2.351074219	0.906738281	2	1	0.234268707
0.156738281	0.485839844	2	1	0.242080117
1.475097656	0.796386719	2	1	0.240554111
0.206542969	0.238769531	2	1	0.238767491
2.544433594	0.419433594	2	1	0.233001805
1.067871094	0.303222656	2	1	0.246636129
0.716308594	0.295410156	2	1	0.247394994
2.749511719	0.453613281	2	1	0.234553026
2.468261719	0.484863281	2	1	0.234728056
1.850097656	0.979980469	2	1	0.235625865
0.830566406	0.496582031	2	1	0.245566362
1.322753906	0.944824219	2	1	0.245744529
1.064941406	0.949707031	2	1	0.247707736
1.516113281	0.122558594	2	1	0.241128687
1.419433594	0.437011719	2	1	0.242744769
0.936035156	0.956542969	2	1	0.247394994
2.960449219	0.446777344	2	1	0.228371445
0.002929688	0.752929688	2	1	0.239142034
0.763183594	0.623535156	2	1	0.247171703
1.217285156	0.172363281	2	1	0.24476524
0.288574219	0.344238281	2	1	0.243099541
1.630371094	0.302246094	2	1	0.24188086
1.064941406	0.218261719	2	1	0.246145591
0.443847656	0.305175781	2	1	0.24150466
2.318847656	0.823730469	2	1	0.23328554
2.664550781	0.833496094	2	1	0.232107804
0.728027344	0.259277344	2	1	0.247327998
0.766113281	0.372558594	2	1	0.244743001
2.392089844	0.314941406	2	1	0.234224978
1.935058594	0.591308594	2	1	0.238569295
1.214355469	0.848144531	2	1	0.244409516
0.584472656	0.312011719	2	1	0.247886517
2.570800781	0.041503906	2	1	0.233547565
0.909667969	0.598144531	2	1	0.249072231
1.601074219	0.149902344	2	1	0.243587684
1.671386719	0.305175781	2	1	0.237909101
2.119628906	0.799316406	2	1	0.233897104
2.515136719	0.937988281	2	1	0.232783636
2.815429688	0.875976563	2	1	0.231781054
1.267089844	0.659667969	2	1	0.247127054
0.874511719	0.589355469	2	1	0.247350329
0.581542969	0.614746094	2	1	0.249161811
2.440429688	0.500976563	2	1	0.234618656
0.465820313	0.782226563	2	1	0.250192898
0.355957031	0.493652344	2	1	0.243787489
1.779785156	0.038574219	2	1	0.239186113
1.146972656	0.745605469	2	1	0.245878187
1.917480469	0.332519531	2	1	0.241571031
0.484863281	0.716308594	2	1	0.251180749
0.130371094	0.615722656	2	1	0.237095829
1.876464844	0.706542969	2	1	0.238063083
1.935058594	0.701660156	2	1	0.239230195
1.510253906	0.473144531	2	1	0.239450651
2.690917969	0.949707031	2	1	0.230975812
1.363769531	0.922363281	2	1	0.240819234
0.373535156	0.287597656	2	1	0.242190843
0.326660156	0.750488281	2	1	0.243365754
2.140136719	0.586425781	2	1	0.238085084
1.489746094	0.131347656	2	1	0.239671186
1.976074219	0.164550781	2	1	0.238723442
1.729980469	0.637207031	2	1	0.240951838
1.590820313	0.157226563	2	1	0.244053996
1.205566406	0.702636719	2	1	0.244031783
2.406738281	0.606933594	2	1	0.233678619
0.326660156	0.804199219	2	1	0.244342841
2.969238281	0.371582031	2	1	0.230432326
0.373535156	0.394042969	2	1	0.245276949
2.002441406	0.762207031	2	1	0.233351036
0.874511719	0.758300781	2	1	0.244943178
0.645996094	0.100097656	2	1	0.246836915
2.664550781	0.832519531	2	1	0.231389183
2.931152344	0.572753906	2	1	0.232064227
2.447753906	0.410644531	2	1	0.235362956
0.405761719	0.110839844	2	1	0.24258962
1.064941406	0.949707031	2	1	0.244209511
1.779785156	0.038574219	2	1	0.241172908
0.423339844	0.815917969	2	1	0.250753985
2.002441406	0.280761719	2	1	0.238811543
0.777832031	0.040527344	2	1	0.248311325
0.180175781	0.598144531	2	1	0.23927428
2.515136719	0.782714844	2	1	0.236437204
2.515136719	0.937988281	2	1	0.231541548
2.729003906	0.314941406	2	1	0.232740012
1.442871094	0.928222656	2	1	0.240311182
0.678222656	0.758300781	2	1	0.248646905
0.728027344	0.119628906	2	1	0.244231731
0.962402344	0.556152344	2	1	0.244609586
1.557128906	0.054199219	2	1	0.240642473
1.784179688	0.221679688	2	1	0.240267023
2.271972656	0.014160156	2	1	0.236810339
0.581542969	0.363769531	2	1	0.247216355
0.707519531	0.325683594	2	1	0.24630163
1.841308594	0.421386719	2	1	0.238767491
1.800292969	0.152832031	2	1	0.241305587
2.793457031	0.431152344	2	1	0.232652772
0.303222656	0.383300781	2	1	0.242966478
1.442871094	0.864746094	2	1	0.239186113
1.466308594	0.998535156	2	1	0.242855614
2.128417969	0.280761719	2	1	0.237733168
1.606933594	0.342285156	2	1	0.240377426
2.655761719	0.414550781	2	1	0.23254374
1.293457031	0.864746094	2	1	0.240664565
2.222167969	0.910644531	2	1	0.240532023
1.246582031	0.037597656	2	1	0.243987359
1.305175781	0.119628906	2	1	0.244409516
1.457519531	0.075683594	2	1	0.24243451
0.839355469	0.507324219	2	1	0.248467907
0.540527344	0.446777344	2	1	0.248758805
0.895019531	0.892089844	2	1	0.25203515
2.910644531	0.970214844	2	1	0.232303937
1.574707031	0.524902344	2	1	0.240112492
2.550292969	0.270019531	2	1	0.235560127
2.913574219	0.727050781	2	1	0.231715725
2.468261719	0.173339844	2	1	0.233787852
0.145019531	0.186035156	2	1	0.235888885
0.508300781	0.229003906	2	1	0.243965148
1.823730469	0.551269531	2	1	0.239362459
2.151855469	0.410644531	2	1	0.234968803
1.530761719	0.235839844	2	1	0.241703796
0.347167969	0.035644531	2	1	0.236283626
1.372558594	0.014160156	2	1	0.24372088
2.195800781	0.868652344	2	1	0.236108154
0.353027344	0.744628906	2	1	0.248221868
0.484863281	0.543457031	2	1	0.245009918
2.008300781	0.614746094	2	1	0.238129087
2.815429688	0.815429688	2	1	0.232936346
1.885253906	0.848144531	2	1	0.237403428
1.502929688	0.252929688	2	1	0.24199155
2.526855469	0.231933594	2	1	0.237029935
2.696777344	0.198730469	2	1	0.235691609
0.048339844	0.158691406	2	1	0.237381451
0.013183594	0.373535156	2	1	0.237359476
0.801269531	0.106933594	2	1	0.249520257
1.590820313	0.346679688	2	1	0.243676478
0.086425781	0.853027344	2	1	0.243254818
2.222167969	0.255371094	2	1	0.237447383
0.414550781	0.082519531	2	1	0.241305587
2.872558594	0.779785156	2	1	0.231737501
1.507324219	0.625488281	2	1	0.238569295
1.067871094	0.739746094	2	1	0.247127054
1.896972656	0.495605469	2	1	0.238041083
2.623535156	0.537597656	2	1	0.23510016
2.295410156	0.906738281	2	1	0.235253444
0.569824219	0.758300781	2	1	0.25093364
1.305175781	0.723144531	2	1	0.240465762
2.119628906	0.987792969	2	1	0.23648109
2.049316406	0.796386719	2	1	0.237755156
0.071777344	0.775878906	2	1	0.239605017
2.008300781	0.363769531	2	1	0.236678618
2.960449219	0.211425781	2	1	0.234662414
2.909179688	0.157226563	2	1	0.233744156
2.787597656	0.733886719	2	1	0.234881248
1.205566406	0.416503906	2	1	0.244031783
1.094238281	0.923339844	2	1	0.245722255
0.997558594	0.639160156	2	1	0.248221868
2.386230469	0.716308594	2	1	0.235319149
2.849121094	0.960449219	2	1	0.231802832
0.212402344	0.901855469	2	1	0.24372088
2.201660156	0.034667969	2	1	0.237557284
1.785644531	0.247558594	2	1	0.2398918
2.371582031	0.162597656	2	1	0.234334308
1.917480469	0.022949219	2	1	0.240797136
1.442871094	0.428222656	2	1	0.243965148
1.293457031	0.864746094	2	1	0.243277004
1.510253906	0.507324219	2	1	0.239913865
0.968261719	0.673339844	2	1	0.24389852
0.259277344	0.011230469	2	1	0.239560909
0.051269531	0.984863281	2	1	0.24258962
1.510253906	0.507324219	2	1	0.241062363
1.117675781	0.910644531	2	1	0.243254818
1.557128906	0.613769531	2	1	0.241172908
2.386230469	0.543457031	2	1	0.234837475
0.124511719	0.828613281	2	1	0.242744769
1.598144531	0.562988281	2	1	0.242257288
2.225097656	0.546386719	2	1	0.23577928
0.974121094	0.835449219	2	1	0.243055184
0.754394531	0.591308594	2	1	0.247752427
1.214355469	0.882324219	2	1	0.244253951
1.949707031	0.149902344	2	1	0.23852526
1.363769531	0.235839844	2	1	0.24407621
2.415527344	0.307128906	2	1	0.234465529
2.049316406	0.796386719	2	1	0.236415262
1.949707031	0.645996094	2	1	0.239781483
0.854003906	0.976074219	2	1	0.248825954
0.227050781	0.770996094	2	1	0.244453971
2.166503906	0.127441406	2	1	0.239869735
1.352050781	0.572753906	2	1	0.243965148
1.296386719	0.823730469	2	1	0.243831899
0.191894531	0.028808594	2	1	0.235012586
1.246582031	0.317871094	2	1	0.246792291
2.895996094	0.162597656	2	1	0.23075836
1.472167969	0.043457031	2	1	0.238657374
0.241699219	0.109863281	2	1	0.238415187
0.877441406	0.900878906	2	1	0.247774773
1.662597656	0.858886719	2	1	0.239208153
2.351074219	0.906738281	2	1	0.235078265
1.293457031	0.928222656	2	1	0.246056444
1.006347656	0.511230469	2	1	0.250394831
0.936035156	0.203613281	2	1	0.248311325
2.471191406	0.619628906	2	1	0.235362956
0.909667969	0.442871094	2	1	0.245699982
2.178222656	0.280761719	2	1	0.235669694
0.643066406	0.104003906	2	1	0.246703051
1.059082031	0.446777344	2	1	0.242855614
1.911621094	0.771972656	2	1	0.238613333
2.603027344	0.979980469	2	1	0.235801199
1.122070313	0.500976563	2	1	0.243765286
0.561035156	0.319824219	2	1	0.248244231
2.617675781	0.932128906	2	1	0.231715725
2.520996094	0.537597656	2	1	0.23372231
2.746582031	0.537597656	2	1	0.233809701
2.020019531	0.017089844	2	1	0.23659082
1.067871094	0.429199219	2	1	0.245009918
1.267089844	0.689941406	2	1	0.24672536
